Source;Target;Label;Weight
127;43;2;2
1;44;2;2
2;44;1;10
5;44;C;5
6;44;2;2
27;44;L;0.5
31;44;1;5
38;44;C;5
47;44;C;5
54;44;12;7
56;44;1;5
57;44;C;5
59;44;1;5
79;44;1;5
88;44;C;5
92;44;1;5
97;44;2;6
99;44;C;5
107;44;C;5
110;44;1;5
114;44;C;5
1;45;1;5
2;45;1;10
9;45;2;2
12;45;1;5
13;45;2;2
27;45;L;0.5
34;45;L;0.5
35;45;L;0.5
36;45;1;5
37;45;C;5
46;45;2;2
52;45;1;5
53;45;1;5
54;45;13;6
67;45;2;2
69;45;1;10
74;45;2;2
79;45;2;4
80;45;L;0.5
87;45;1;5
93;45;1;5
95;45;2;2
97;45;L;0.5
98;45;1;5
100;45;1;5
103;45;C;5
115;45;1;5
119;45;2;2
121;45;1;5
123;45;L;0.5
127;45;3;1
6;46;1;10
8;46;C;5
12;46;1;5
16;46;C;5
20;46;C2;9
26;46;1L;5.5
29;46;C;5
30;46;2;2
42;46;L;0.5
45;46;2;2
48;46;1;5
49;46;C;5
52;46;C1;10
54;46;C;5
56;46;C;5
61;46;1;5
62;46;1;5
65;46;C;5
68;46;L;0.5
73;46;1L;5.5
74;46;1L;5.5
77;46;1;5
81;46;2;2
89;46;C2;7
96;46;1;5
98;46;L;0.5
101;46;C2;7
115;46;1;5
118;46;1;5
119;46;C;5
123;46;2;2
124;46;1;10
2;47;3;1
5;47;C;5
7;47;1;5
11;47;2;2
16;47;1;5
17;47;3L;2
19;47;1;5
26;47;2;2
30;47;L;0.5
31;47;L;1
33;47;2L;2.5
34;47;1;5
38;47;C;5
42;47;23;3
44;47;C;5
57;47;C;5
60;47;1;5
65;47;L;0.5
68;47;2L;2.5
76;47;2;2
77;47;2;2
79;47;3;1
82;47;1;5
83;47;L;0.5
88;47;C;5
92;47;2;2
93;47;L;0.5
95;47;12L;7.5
96;47;2;2
99;47;C;5
104;47;3;1
106;47;2;2
107;47;C;5
114;47;C;5
119;47;3L;1.5
121;47;1;5
128;47;L;0.5
12;48;1;5
35;48;2;2
37;48;L;1
39;48;1;5
42;48;2;2
46;48;1;5
51;48;L;0.5
55;48;L;0.5
58;48;1;5
61;48;1;5
62;48;L;0.5
65;48;2;2
97;48;2;4
100;48;CL;5.5
103;48;L;0.5
114;48;1;5
118;48;1;10
121;48;L;0.5
124;48;12;7
128;48;L;0.5
1;49;L;0.5
7;49;3;1
8;49;C;5
9;49;3;1
13;49;1;5
16;49;C3;6
17;49;L;0.5
20;49;C;5
23;49;L;0.5
26;49;2L;4.5
29;49;C;5
30;49;L;0.5
31;49;3;1
32;49;1;5
35;49;3;1
38;49;2;2
46;49;C;5
50;49;1;5
52;49;C;5
54;49;C;5
56;49;C3;6
65;49;CL;5.5
71;49;2;2
73;49;3;1
77;49;12;7
80;49;1;5
81;49;3L;1.5
88;49;2;2
89;49;C;5
93;49;2;2
95;49;3L;1.5
96;49;2;2
98;49;1;5
101;49;C;5
105;49;L;0.5
119;49;C;5
121;49;2;2
124;49;2;2
127;49;L;1
6;50;1;5
11;50;1;5
13;50;L;0.5
30;50;1;5
42;50;2L;4.5
49;50;1;5
51;50;1;5
54;50;1;5
58;50;C;5
61;50;1;5
62;50;L;0.5
74;50;L;0.5
86;50;1;5
88;50;2;2
89;50;2;2
91;50;CL;6.5
116;50;L;0.5
7;51;1;5
9;51;2;2
11;51;2;2
16;51;1;5
19;51;1;5
26;51;1;10
30;51;L;0.5
31;51;1;5
36;51;1;5
39;51;C2;9
42;51;L;0.5
48;51;L;0.5
50;51;1;5
53;51;L;0.5
57;51;2;2
63;51;2;2
71;51;2;2
72;51;L;0.5
81;51;2;2
91;51;1;10
96;51;1;5
97;51;L;0.5
101;51;12;7
